file, segment, start, end, dur, filedur, mean_intensity
engl310_01_20min,np,93.542,93.895,0.352,1200.470,76.153,
engl310_01_20min,uh,93.895,94.176,0.282,1200.470,76.763,
engl310_01_20min,np,94.176,97.053,2.877,1200.470,79.907,
engl310_01_20min,pau,97.053,97.199,0.146,1200.470,49.216,
engl310_01_20min,in,97.199,97.638,0.438,1200.470,59.511,
engl310_01_20min,uh,97.638,98.144,0.507,1200.470,82.271,
engl310_01_20min,np,98.144,98.749,0.605,1200.470,77.539,
engl310_01_20min,pau,98.749,99.081,0.332,1200.470,53.284,
engl310_01_20min,np,99.081,100.193,1.112,1200.470,77.244,
engl310_01_20min,in,100.193,100.574,0.381,1200.470,53.749,
engl310_01_20min,uh,100.574,100.866,0.292,1200.470,76.460,
engl310_01_20min,np,100.866,102.081,1.216,1200.470,78.663,
engl310_01_20min,pau,102.081,102.239,0.158,1200.470,47.211,
engl310_01_20min,cl,102.239,102.282,0.043,1200.470,54.322,
engl310_01_20min,pau,102.282,102.349,0.067,1200.470,46.250,
engl310_01_20min,uh,102.349,102.560,0.211,1200.470,74.121,
engl310_01_20min,np,102.560,103.160,0.600,1200.470,73.745,
engl310_01_20min,pau,103.160,103.674,0.514,1200.470,48.747,
engl310_01_20min,np,103.674,104.693,1.019,1200.470,78.787,
engl310_01_20min,uh,104.693,104.854,0.161,1200.470,74.145,
engl310_01_20min,np,104.854,105.236,0.382,1200.470,71.879,
engl310_01_20min,pau,105.236,105.401,0.166,1200.470,47.251,
engl310_01_20min,np,105.401,106.329,0.927,1200.470,75.693,
engl310_01_20min,pau,106.329,106.397,0.068,1200.470,54.641,
engl310_01_20min,in,106.397,106.728,0.331,1200.470,58.629,
engl310_01_20min,pau,106.728,106.818,0.090,1200.470,50.023,
engl310_01_20min,uh,106.818,107.097,0.279,1200.470,74.941,
engl310_01_20min,pau,107.097,107.702,0.604,1200.470,48.579,
engl310_01_20min,np,107.702,108.884,1.182,1200.470,75.440,
engl310_01_20min,pau,108.884,109.424,0.540,1200.470,54.162,
engl310_01_20min,lip,109.424,109.560,0.136,1200.470,71.330,
engl310_01_20min,in,109.560,109.850,0.290,1200.470,60.099,
engl310_01_20min,np,109.850,110.231,0.381,1200.470,83.799,
engl310_01_20min,pau,110.231,110.399,0.168,1200.470,49.701,
engl310_01_20min,in,110.399,110.737,0.338,1200.470,60.738,
engl310_01_20min,uh,110.737,111.046,0.309,1200.470,81.200,
engl310_01_20min,pau,111.046,111.097,0.050,1200.470,52.101,
engl310_01_20min,np,111.097,112.111,1.015,1200.470,79.070,
engl310_01_20min,pau,112.111,112.585,0.474,1200.470,47.956,
engl310_01_20min,np,112.585,113.250,0.665,1200.470,79.239,
engl310_01_20min,uh,113.250,113.547,0.297,1200.470,79.046,
engl310_01_20min,pau,113.547,113.571,0.024,1200.470,55.002,
engl310_01_20min,np,113.571,114.716,1.145,1200.470,80.674,
engl310_01_20min,pau,114.716,115.873,1.157,1200.470,49.196,
engl310_01_20min,cl,115.873,115.923,0.050,1200.470,70.248,
engl310_01_20min,pau,115.923,116.006,0.084,1200.470,44.629,
engl310_01_20min,uh,116.006,116.226,0.219,1200.470,79.470,
engl310_01_20min,np,116.226,117.886,1.661,1200.470,83.358,
