file, segment, start, end, dur, filedur, mean_intensity
Track15_noNarrator,pau,236.637,236.781,0.144,358.182,42.402,
Track15_noNarrator,np,236.781,239.850,3.069,358.182,80.128,
Track15_noNarrator,pau,239.850,239.913,0.063,358.182,28.983,
Track15_noNarrator,in,239.913,240.331,0.418,358.182,38.886,
Track15_noNarrator,pau,240.331,240.382,0.050,358.182,30.659,
Track15_noNarrator,uh,240.382,240.780,0.399,358.182,80.295,
Track15_noNarrator,np,240.780,242.983,2.202,358.182,79.279,
Track15_noNarrator,pau,242.983,243.023,0.041,358.182,34.321,
Track15_noNarrator,in,243.023,243.438,0.415,358.182,41.850,
Track15_noNarrator,pau,243.438,243.465,0.028,358.182,33.121,
Track15_noNarrator,uh,243.465,243.720,0.254,358.182,77.328,
Track15_noNarrator,np,243.720,246.514,2.794,358.182,78.514,
Track15_noNarrator,pau,246.514,246.572,0.058,358.182,29.814,
Track15_noNarrator,np,246.572,247.166,0.594,358.182,77.854,
Track15_noNarrator,pau,247.166,247.240,0.075,358.182,26.995,
Track15_noNarrator,np,247.240,247.840,0.599,358.182,77.842,
Track15_noNarrator,pau,247.840,247.906,0.066,358.182,32.941,
Track15_noNarrator,np,247.906,249.118,1.212,358.182,78.708,
Track15_noNarrator,pau,249.118,249.151,0.032,358.182,32.472,
Track15_noNarrator,np,249.151,249.554,0.403,358.182,80.400,
Track15_noNarrator,uh,249.554,249.812,0.258,358.182,78.705,
Track15_noNarrator,in,249.812,250.259,0.447,358.182,45.014,
Track15_noNarrator,np,250.259,251.154,0.895,358.182,79.255,
Track15_noNarrator,uh,251.154,251.509,0.355,358.182,79.677,
Track15_noNarrator,np,251.509,252.374,0.864,358.182,76.844,
Track15_noNarrator,pau,252.374,252.417,0.044,358.182,34.405,
Track15_noNarrator,np,252.417,253.218,0.800,358.182,79.213,
Track15_noNarrator,pau,253.218,253.250,0.032,358.182,36.034,
Track15_noNarrator,in,253.250,253.613,0.363,358.182,41.849,
Track15_noNarrator,pau,253.613,253.718,0.105,358.182,25.268,
Track15_noNarrator,np,253.718,257.750,4.032,358.182,79.492,
Track15_noNarrator,pau,257.750,257.792,0.042,358.182,29.970,
Track15_noNarrator,in,257.792,258.794,1.002,358.182,37.526,
Track15_noNarrator,pau,258.794,258.875,0.081,358.182,23.297,
Track15_noNarrator,uh,258.875,259.123,0.248,358.182,79.129,
Track15_noNarrator,np,259.123,260.704,1.582,358.182,77.982,
Track15_noNarrator,pau,260.704,260.785,0.081,358.182,34.103,
