"file","segment","start","end","dur","filedur","mean_intensity","nsyll","npause","dur(s)","phonationtime(s)","speechrate(nsyll/dur)","articulationrate(nsyll/phonationtime)","ASD(speakingtime/nsyll)","nrFP","tFP(s)","pints","pintsrate","speaker","session"
"engl310_01_20min","sil",74.611,75.14,0.53,1200.47,"47.239",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",75.592,76.174,0.582,1200.47,"48.367",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","cl",76.174,76.264,0.09,1200.47,"66.591",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","in",76.264,76.641,0.377,1200.47,"63.757",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",76.641,76.81,0.169,1200.47,"67.660",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",76.81,76.86,0.05,1200.47,"45.763",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",77.52,77.679,0.159,1200.47,"46.829",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",78.169,78.439,0.27,1200.47,"80.772",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",79.98,80.128,0.147,1200.47,"48.355",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","in",80.128,80.408,0.281,1200.47,"55.203",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",80.408,80.671,0.263,1200.47,"76.081",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",80.671,80.724,0.053,1200.47,"54.658",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",82.173,83.139,0.966,1200.47,"52.325",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","cl",83.139,83.215,0.076,1200.47,"71.876",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",84.222,84.4,0.178,1200.47,"84.888",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
