"file","segment","start","end","dur","filedur","mean_intensity","nsyll","npause","dur(s)","phonationtime(s)","speechrate(nsyll/dur)","articulationrate(nsyll/phonationtime)","ASD(speakingtime/nsyll)","nrFP","tFP(s)"
"engl310_01_20min","uh",93.895,94.176,0.282,1200.47,"76.763",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",94.176,97.053,2.877,1200.47,"79.907",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",97.053,97.199,0.146,1200.47,"49.216",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","in",97.199,97.638,0.438,1200.47,"59.511",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","uh",97.638,98.144,0.507,1200.47,"82.271",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",98.144,98.749,0.605,1200.47,"77.539",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",98.749,99.081,0.332,1200.47,"53.284",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",99.081,100.193,1.112,1200.47,"77.244",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","in",100.193,100.574,0.381,1200.47,"53.749",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","uh",100.574,100.866,0.292,1200.47,"76.460",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",100.866,102.081,1.216,1200.47,"78.663",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",102.081,102.239,0.158,1200.47,"47.211",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","cl",102.239,102.282,0.043,1200.47,"54.322",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",102.282,102.349,0.067,1200.47,"46.250",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","uh",102.349,102.56,0.211,1200.47,"74.121",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",102.56,103.16,0.6,1200.47,"73.745",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",103.16,103.674,0.514,1200.47,"48.747",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",103.674,104.693,1.019,1200.47,"78.787",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","uh",104.693,104.854,0.161,1200.47,"74.145",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",104.854,105.236,0.382,1200.47,"71.879",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",105.236,105.401,0.166,1200.47,"47.251",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",105.401,106.329,0.927,1200.47,"75.693",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",106.329,106.397,0.068,1200.47,"54.641",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
