"file","segment","start","end","dur","filedur","mean_intensity","nsyll","npause","dur(s)","phonationtime(s)","speechrate(nsyll/dur)","articulationrate(nsyll/phonationtime)","ASD(speakingtime/nsyll)","nrFP","tFP(s)"
"Track15_noNarrator","np",111.145,112.46,1.315,358.182,77.46,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",112.46,112.638,0.178,358.182,22.537,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",112.638,113.015,0.378,358.182,42.987,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",113.015,113.062,0.047,358.182,32.226,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","um",113.062,113.487,0.425,358.182,79.087,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",113.487,114.619,1.132,358.182,77.079,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",114.619,114.659,0.041,358.182,28.722,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",114.659,115.136,0.476,358.182,37.44,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","uh",115.136,115.491,0.356,358.182,79.626,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",115.491,119.004,3.512,358.182,79.822,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",119.004,119.61,0.606,358.182,38.01,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",119.61,119.678,0.068,358.182,21.437,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","um",119.678,120.154,0.476,358.182,80.674,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","ex",120.154,120.471,0.318,358.182,55.539,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",120.471,122.621,2.15,358.182,80.835,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","uh",122.621,123.007,0.386,358.182,77.825,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",123.007,124.822,1.815,358.182,78.259,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",124.822,125.324,0.502,358.182,40.222,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",125.324,125.372,0.049,358.182,34.173,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",125.372,127.787,2.415,358.182,79.288,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",127.787,128.215,0.428,358.182,38.947,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",128.215,128.27,0.055,358.182,25.906,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","uh",128.27,128.629,0.359,358.182,79.452,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",128.629,131.261,2.632,358.182,78.618,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",131.261,131.345,0.084,358.182,33.882,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",131.345,133.07,1.725,358.182,76.124,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",133.07,133.889,0.818,358.182,18.307,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
